Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
309.84	929220	1160.6	0.00086163	250690	251490	1174.9	928.65	1479.8	452	8.97E-08	0.00016838	0.076132	0.0065487	45.572	0.021943	397570	417960	1712.2	874.65	1116.3	141.37	0.000023329	1.22E-05	0.015063
310.18	937940	1159.2	0.00086267	251180	251990	1176.5	929.15	1481.6	450.4	9.35E-08	0.00016766	0.075987	0.006505	46.019	0.02173	397730	418110	1712.1	875.78	1119.1	141.27	0.000023271	1.22E-05	0.015102
310.52	946710	1157.8	0.00086372	251680	252500	1178.1	929.66	1483.5	448.8	9.74E-08	0.00016694	0.075841	0.0064615	46.469	0.02152	397890	418270	1712	876.91	1122	141.17	0.000023213	1.22E-05	0.01514
310.86	955540	1156.4	0.00086478	252170	253000	1179.7	930.17	1485.4	447.2	1.01E-07	0.00016622	0.075696	0.006418	46.924	0.021311	398060	418420	1711.9	878.05	1124.8	141.07	0.000023155	1.23E-05	0.015179
311.2	964440	1154.9	0.00086584	252670	253510	1181.3	930.68	1487.3	445.6	1.05E-07	0.0001655	0.07555	0.0063745	47.382	0.021105	398220	418570	1711.7	879.19	1127.7	140.96	0.000023098	1.23E-05	0.015218
311.54	973390	1153.5	0.00086691	253170	254010	1182.9	931.2	1489.2	444	1.09E-07	0.00016479	0.075404	0.0063311	47.844	0.020901	398380	418720	1711.6	880.33	1130.5	140.85	0.000023041	1.23E-05	0.015258
311.88	982410	1152.1	0.00086798	253660	254520	1184.5	931.71	1491.1	442.4	1.13E-07	0.00016408	0.075259	0.0062878	48.311	0.020699	398540	418870	1711.5	881.47	1133.5	140.75	0.000022984	1.23E-05	0.015297
312.22	991500	1150.7	0.00086906	254160	255020	1186.1	932.22	1493	440.8	1.17E-07	0.00016337	0.075113	0.0062445	48.781	0.0205	398700	419020	1711.4	882.62	1136.4	140.64	0.000022928	1.23E-05	0.015337
312.56	1000600	1149.2	0.00087015	254660	255530	1187.7	932.74	1495	439.2	1.21E-07	0.00016266	0.074967	0.0062013	49.255	0.020302	398860	419170	1711.3	883.77	1139.3	140.53	0.000022873	1.23E-05	0.015377
312.9	1009800	1147.8	0.00087124	255160	256040	1189.3	933.25	1497	437.59	1.25E-07	0.00016196	0.074822	0.0061582	49.734	0.020107	399020	419320	1711.1	884.91	1142.3	140.42	0.000022818	1.24E-05	0.015417
