Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
227.65	27154	1363.7	0.00073328	141770	141790	767.69	848.35	1245.1	846.77	-3.3574E-07	0.00048465	0.10064	0.019337	1.6624	0.60152	335680	352010	1691.1	686.09	764.71	133.83	0.000043526	7.94E-06	0.0080518
227.99	27681	1362.9	0.00073375	142200	142220	769.55	848.6	1245.4	845.23	-3.3516E-07	0.00048237	0.1005	0.019283	1.6926	0.59082	335900	352250	1690.8	686.77	765.48	133.9	0.000043364	7.97E-06	0.0080787
228.33	28216	1362	0.00073422	142620	142640	771.4	848.86	1245.8	843.7	-3.3458E-07	0.00048011	0.10037	0.019228	1.7231	0.58034	336120	352500	1690.5	687.46	766.26	133.97	0.000043203	7.99E-06	0.0081055
228.67	28759	1361.1	0.0007347	143040	143070	773.26	849.11	1246.2	842.16	-3.3399E-07	0.00047786	0.10023	0.019174	1.7541	0.57009	336340	352740	1690.2	688.14	767.03	134.04	0.000043043	8.01E-06	0.0081323
229.01	29311	1360.2	0.00073517	143470	143490	775.11	849.36	1246.6	840.63	-3.334E-07	0.00047562	0.10009	0.01912	1.7855	0.56006	336570	352980	1689.9	688.83	767.81	134.11	0.000042883	8.03E-06	0.0081592
229.35	29871	1359.4	0.00073564	143890	143910	776.96	849.62	1247	839.09	-3.3281E-07	0.0004734	0.099956	0.019066	1.8174	0.55023	336790	353230	1689.6	689.52	768.59	134.18	0.000042725	8.05E-06	0.008186
229.69	30440	1358.5	0.00073612	144320	144340	778.8	849.88	1247.4	837.56	-3.3221E-07	0.00047118	0.099818	0.019011	1.8498	0.54061	337010	353470	1689.3	690.2	769.37	134.24	0.000042567	8.07E-06	0.0082128
230.03	31018	1357.6	0.00073659	144740	144760	780.65	850.13	1247.8	836.03	-3.3161E-07	0.00046898	0.099681	0.018957	1.8825	0.53119	337230	353710	1689	690.89	770.15	134.31	0.00004241	8.09E-06	0.0082395
230.37	31605	1356.7	0.00073707	145160	145190	782.49	850.39	1248.2	834.5	-3.3101E-07	0.00046678	0.099544	0.018903	1.9158	0.52197	337460	353950	1688.7	691.57	770.93	134.38	0.000042254	8.12E-06	0.0082663
230.71	32200	1355.8	0.00073755	145590	145610	784.33	850.65	1248.6	832.96	-3.304E-07	0.0004646	0.099407	0.018849	1.9495	0.51294	337680	354200	1688.4	692.25	771.72	134.44	0.000042099	8.14E-06	0.0082931
231.05	32805	1355	0.00073803	146010	146040	786.17	850.91	1249	831.43	-3.2979E-07	0.00046243	0.099271	0.018795	1.9837	0.5041	337900	354440	1688.1	692.94	772.5	134.51	0.000041944	0.000008158	0.0083199
231.39	33419	1354.1	0.00073851	146440	146460	788	851.17	1249.4	829.9	-3.2917E-07	0.00046027	0.099134	0.018741	2.0184	0.49544	338130	354680	1687.9	693.62	773.28	134.57	0.00004179	8.18E-06	0.0083466
231.73	34042	1353.2	0.00073899	146860	146890	789.84	851.43	1249.8	828.37	-3.2855E-07	0.00045812	0.098997	0.018687	2.0536	0.48696	338350	354930	1687.6	694.31	774.07	134.64	0.000041637	8.20E-06	0.0083734
232.07	34674	1352.3	0.00073947	147290	147310	791.67	851.69	1250.2	826.84	-3.2792E-07	0.00045598	0.098861	0.018633	2.0892	0.47865	338570	355170	1687.3	694.99	774.85	134.7	0.000041485	8.22E-06	0.0084001
